,entity_id,sex,age_cat,race,priors_count,c_charge_degree,label_value
0,1,Male,Greater than 45,Other,0,F,0
1,3,Male,25 - 45,African-American,0,F,1
2,4,Male,Less than 25,African-American,4,F,1
3,5,Male,Less than 25,African-American,1,F,0
4,6,Male,25 - 45,Other,2,F,0
5,7,Male,25 - 45,Other,0,M,0
6,8,Male,25 - 45,Caucasian,14,F,1
7,9,Male,25 - 45,Other,3,F,0
8,10,Female,25 - 45,Caucasian,0,M,0
9,13,Male,Less than 25,Caucasian,1,F,1
10,14,Male,25 - 45,Caucasian,0,F,0
11,15,Male,Less than 25,African-American,3,M,1
12,16,Female,25 - 45,Caucasian,0,M,0
13,18,Male,25 - 45,African-American,0,F,0
14,19,Female,Greater than 45,Caucasian,1,F,1
15,20,Male,25 - 45,African-American,7,F,1
16,21,Male,25 - 45,Hispanic,0,M,0
17,22,Male,25 - 45,African-American,3,F,0
18,23,Male,25 - 45,Caucasian,6,F,1
19,24,Male,25 - 45,Caucasian,5,F,1
20,25,Male,Greater than 45,African-American,13,F,1
21,26,Male,Less than 25,African-American,1,F,1
22,27,Male,25 - 45,Caucasian,0,M,1
23,28,Female,Less than 25,Caucasian,0,F,0
24,30,Male,Less than 25,Hispanic,1,F,1
25,32,Male,25 - 45,Caucasian,1,M,0
26,33,Male,25 - 45,Other,0,M,0
27,37,Male,25 - 45,African-American,8,F,1
28,38,Female,25 - 45,Caucasian,3,F,0
29,39,Male,25 - 45,African-American,5,F,1
30,40,Male,25 - 45,African-American,0,F,1
31,41,Male,25 - 45,Caucasian,9,F,1
32,42,Male,25 - 45,African-American,4,F,1
33,45,Male,Greater than 45,Caucasian,0,F,0
34,50,Male,Greater than 45,Other,7,F,1
35,51,Male,25 - 45,Caucasian,6,M,0
36,52,Female,25 - 45,Caucasian,4,M,1
37,53,Male,Less than 25,Caucasian,1,M,1
38,54,Male,25 - 45,African-American,21,F,1
39,55,Male,25 - 45,Caucasian,0,M,0
40,56,Female,Less than 25,African-American,2,F,0
41,57,Male,Greater than 45,African-American,2,M,0
42,59,Male,25 - 45,Caucasian,2,M,1
43,61,Female,Greater than 45,African-American,7,F,0
44,64,Male,25 - 45,African-American,0,F,1
